country,income,health,population,latitude,longitude
Marshall Islands,3661,65.1,52993,7.131474,171.184478
Mauritania,3877,65.7,4067564,21.00789,-10.940835
Mauritius,18350,73.9,1273212,-20.348404,57.552152
Mexico,16850,74.5,127017224,23.634501,-102.552784
Moldova,4896,72.7,4068897,47.411631,28.369885
Mongolia,11819,65.3,2959134,46.862496,103.846656
Montenegro,14833,75.8,625781,42.708678,19.37439
Morocco,7319,74.7,34377511,31.791702,-7.09262
Mozambique,1176,56.4,27977863,-18.665695,35.529562
Namibia,10040,61,2458830,-22.95764,18.49041
Nepal,2352,71.2,28513700,28.394857,84.124008
Netherlands,45784,80.6,16924929,52.132633,5.291266
New Zealand,34186,80.6,4528526,-40.900557,174.885971
Nicaragua,4712,76.8,6082032,12.865416,-85.207229
Niger,943,62.2,19899120,17.607789,8.081666
Nigeria,5727,61.33,182201962,9.081999,8.675277
North Korea,1390,71.4,25155317,40.339852,127.510093
Norway,64304,81.6,5210967,60.472024,8.468946
Oman,48226,75.7,4490541,21.512583,55.923255
Pakistan,4743,66.5,188924874,30.375321,69.345116
Panama,20485,78.2,3929141,8.537981,-80.782127
Papua New Guinea,2529,60.6,7619321,-6.314993,143.95555
Paraguay,8219,73.9,6639123,-23.442503,-58.443832
Peru,11903,77.5,31376670,-9.189967,-75.015152
Philippines,6876,70.2,100699395,12.879721,121.774017
Poland,24787,77.3,38611794,51.919438,19.145136
Portugal,26437,79.8,10349803,39.399872,-8.224454
Qatar,132877,82,2235355,25.354826,51.183884
Romania,19203,76.8,19511324,45.943161,24.96676
Russia,23038,73.13,143456918,61.52401,105.318756
Rwanda,1549,66.53,11609666,-1.940278,29.873888
Samoa,5558,72.2,193228,-13.759029,-172.104629
Saudi Arabia,52469,78.1,31540372,23.885942,45.079162
Senegal,2251,66.1,15129273,14.497401,-14.452362
Serbia,12908,78.1,8850975,44.016521,21.005859
Seychelles,25684,73.7,96471,-4.679574,55.491977
Sierra Leone,2085,58.5,6453184,8.460555,-11.779889
Singapore,80794,82.1,5603740,1.352083,103.819836
Slovenia,28550,80.2,2067526,46.151241,14.995463
Solomon Islands,2047,64.1,583591,-9.64571,160.156194
Somalia,624,58.7,10787104,5.152149,46.199616
South Africa,12509,63.72,54490406,-30.559482,22.937506
South Korea,34644,80.7,50293439,35.907757,127.766922
Spain,32979,81.7,46121699,40.463667,-3.74922
Sri Lanka,10624,76.5,20715010,7.873054,80.771797
Sudan,3975,69.5,40234882,12.862807,30.217636
Suriname,17125,70.5,542975,3.919305,-56.027783
Swaziland,6095,51.5,1286970,-26.522503,31.465866
Sweden,44892,82,9779426,60.128161,18.643501
Switzerland,56118,82.9,8298663,46.818188,8.227512
Syria,4637,70.26,18502413,34.802075,38.996815
Tajikistan,2582,71,8481855,38.861034,71.276093
Tanzania,2571,63.43,53470420,-6.369028,34.888822
Thailand,14512,75.1,67959359,15.870032,100.992541
Timor-Leste,2086,72.4,1184765,-8.874217,125.727539
Togo,1433,64.23,7304578,8.619543,0.824782
Tonga,5069,70.5,106170,-21.178986,-175.198242
Trinidad and Tobago,30113,71.4,1360088,10.691803,-61.222503
Tunisia,11126,77.3,11253554,33.886917,9.537499
Turkey,19360,76.5,78665830,38.963745,35.243322
Turkmenistan,15865,67.9,5373502,38.969719,59.556278
Uganda,1680,60.8,39032383,1.373333,32.290275
Ukraine,8449,72.1,44823765,48.379433,31.16558
United Arab Emirates,60749,76.6,9156963,23.424076,53.847818
United Kingdom,38225,81.4,64715810,55.378051,-3.435973
United States,53354,79.1,321773631,37.09024,-95.712891
Uruguay,20438,77.3,3431555,-32.522779,-55.765835
Uzbekistan,5598,70.1,29893488,41.377491,64.585262
Vanuatu,2912,65,264652,-15.376706,166.959158
Venezuela,15753,75.8,31108083,6.42375,-66.58973
Vietnam,5623,76.5,93447601,14.058324,108.277199
Yemen,3887,67.6,26832215,15.552727,48.516388
Zambia,4034,58.96,16211767,-13.133897,27.849332
Zimbabwe,1801,60.01,15602751,-19.015438,29.154857
